Surat,Ayat,Sentence #,Kata,Label
1,1,Sentence: 1,dengan,O
,,,menyebut,O
,,,nama,O
,,,allah,O
,,,yang,O
,,,maha,O
,,,pemurah,O
,,,lagi,O
,,,maha,O
,,,penyayang,O
1,2,Sentence: 2,segala,O
,,,puji,O
,,,bagi,O
,,,allah,O
,,,tuhan,O
,,,semesta,O
,,,alam,O
1,3,Sentence: 3,maha,O
,,,pemurah,O
,,,lagi,O
,,,maha,O
,,,penyayang,O
1,4,Sentence: 4,yang,O
,,,menguasai,O
,,,di,O
,,,hari,O
,,,pembalasan,O
1,5,Sentence: 5,hanya,O
,,,engkaulah,O
,,,yang,O
,,,kami,O
,,,sembah,O
,,,dan,O
,,,hanya,O
,,,kepada,O
,,,engkaulah,O
,,,kami,O
,,,meminta,O
,,,pertolongan,O
1,6,Sentence: 6,tunjukilah,O
,,,kami,O
,,,jalan,O
,,,yang,O
,,,lurus,O
1,7,Sentence: 7,yaitu,O
,,,jalan,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,telah,I-PER
,,,engkau,I-PER
,,,beri,I-PER
,,,nikmat,I-PER
,,,kepada,O
,,,mereka,O
,,,bukan,O
,,,jalan,O
,,,mereka,O
,,,yang,O
,,,dimurkai,O
,,,dan,O
,,,bukan,O
,,,pula,O
,,,jalan,O
,,,mereka,B-PER
,,,yang,I-PER
,,,sesat,I-PER
2,1,Sentence: 8,alif,O
,,,laam,O
,,,miim,O
2,2,Sentence: 9,kitab,O
,,,al,O
,,,quran,O
,,,ini,O
,,,tidak,O
,,,ada,O
,,,keraguan,O
,,,padanya,O
,,,petunjuk,O
,,,bagi,O
,,,mereka,B-PER
,,,yang,I-PER
,,,bertakwa,I-PER
2,3,Sentence: 10,yaitu,O
,,,mereka,B-PER
,,,yang,I-PER
,,,beriman,I-PER
,,,kepada,O
,,,yang,O
,,,ghaib,O
,,,yang,O
,,,mendirikan,O
,,,shalat,O
,,,dan,O
,,,menafkahkan,O
,,,sebahagian,O
,,,rezeki,O
,,,yang,O
,,,kami,O
,,,anugerahkan,O
,,,kepada,O
,,,mereka,O
2,4,Sentence: 11,dan,O
,,,mereka,B-PER
,,,yang,I-PER
,,,beriman,I-PER
,,,kepada,O
,,,kitab,O
,,,al,O
,,,quran,O
,,,yang,O
,,,telah,O
,,,diturunkan,O
,,,kepadamu,O
,,,dan,O
,,,kitab-kitab,O
,,,yang,O
,,,telah,O
,,,diturunkan,O
,,,sebelummu,O
,,,serta,O
,,,mereka,O
,,,yakin,O
,,,akan,O
,,,adanya,O
,,,kehidupan,O
,,,akhirat,O
2,5,Sentence: 12,mereka,O
,,,itulah,O
,,,yang,O
,,,tetap,O
,,,mendapat,O
,,,petunjuk,O
,,,dari,O
,,,tuhan,O
,,,mereka,O
